Date,Category,Description,Amount
2025-01-02,Groceries,Walmart Purchase,45.20
2025-01-05,Entertainment,Netflix Subscription,15.99
2025-01-07,Transport,Uber Ride,12.50
2025-01-10,Bills,Electricity Bill,65.80
2025-01-12,Groceries,Costco Purchase,102.35
2025-01-14,Transport,Gas Refill,48.60
2025-01-15,Entertainment,Movie Ticket,9.50
2025-01-18,Healthcare,Pharmacy Purchase,24.80
2025-01-20,Shopping,Amazon Order,120.00
2025-01-22,Food Delivery,Uber Eats,18.75
2025-01-25,Bills,Internet Bill,55.00
2025-01-28,Shopping,Zara Store,80.40
2025-01-30,Groceries,Trader Joe's,37.25
2025-02-02,Entertainment,Spotify Subscription,9.99
2025-02-05,Transport,Metro Ticket,2.50
2025-02-07,Groceries,Walmart Purchase,62.10
2025-02-10,Healthcare,Doctor Visit,75.00
2025-02-12,Food Delivery,Domino's Pizza,22.90
2025-02-15,Shopping,H&M Store,45.30
2025-02-17,Bills,Water Bill,30.00
2025-02-20,Transport,Uber Ride,11.20
2025-02-22,Groceries,Costco Purchase,98.40
2025-02-25,Entertainment,Movie Ticket,10.50
2025-02-27,Food Delivery,Swiggy Order,15.80
2025-03-01,Groceries,Trader Joe's,40.75
2025-03-03,Shopping,Flipkart Order,150.00
2025-03-05,Healthcare,Pharmacy Purchase,19.60
2025-03-07,Bills,Electricity Bill,70.10
2025-03-10,Food Delivery,Uber Eats,17.50
2025-03-12,Entertainment,Netflix Subscription,15.99
2025-03-14,Transport,Gas Refill,50.30
2025-03-16,Groceries,Walmart Purchase,55.90
2025-03-18,Healthcare,Doctor Visit,85.00
2025-03-20,Shopping,Amazon Order,110.00
2025-03-22,Food Delivery,Domino's Pizza,25.40
2025-03-24,Transport,Metro Ticket,3.00
2025-03-26,Bills,Internet Bill,58.00
2025-03-28,Entertainment,Spotify Subscription,9.99
2025-03-30,Shopping,Zara Store,95.00
2025-04-02,Groceries,Trader Joe's,39.50
2025-04-04,Healthcare,Pharmacy Purchase,21.80
2025-04-06,Transport,Uber Ride,14.25
2025-04-08,Food Delivery,Swiggy Order,16.70
2025-04-10,Bills,Water Bill,29.00
2025-04-12,Entertainment,Movie Ticket,11.50
2025-04-14,Groceries,Costco Purchase,100.00
2025-04-16,Shopping,H&M Store,42.20
2025-04-18,Healthcare,Doctor Visit,90.00
2025-04-20,Food Delivery,Uber Eats,19.40
2025-04-22,Transport,Gas Refill,47.60
